,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
100,0.00146,0.002003,0.002296,0.002752,0.00317,0.0035869,0.0040038,0.0044207,0.0048376,0.0052545,0.0056714,0.0060883,0.0065052,0.0069221,0.007339,0.0077559,0.0081728,0.0085897,0.0090066,0.0094235
200,0.00195,0.00281,0.003682,0.005067,0.005933,0.0069553,0.0079776,0.0089999,0.0100222,0.0110445,0.0120668,0.0130891,0.0141114,0.0151337,0.016156,0.0171783,0.0182006,0.0192229,0.0202452,0.0212675
300,0.002485,0.00395,0.005221,0.007784,0.009152,0.0108688,0.0125856,0.0143024,0.0160192,0.017736,0.0194528,0.0211696,0.0228864,0.0246032,0.02632,0.0280368,0.0297536,0.0314704,0.0331872,0.034904
400,0.003242,0.00489,0.006658,0.01013,0.011838,0.0140812,0.0163244,0.0185676,0.0208108,0.023054,0.0252972,0.0275404,0.0297836,0.0320268,0.03427,0.0365132,0.0387564,0.0409996,0.0432428,0.045486
500,0.003836,0.0061,0.0081205,0.012646,0.01478825,0.0176333,0.02047835,0.0233234,0.02616845,0.0290135,0.03185855,0.0347036,0.03754865,0.0403937,0.04323875,0.0460838,0.04892885,0.0517739,0.05461895,0.057464
600,0.0044078,0.0070328,0.009583,0.0151311,0.0177187,0.02119071,0.02466272,0.02813473,0.03160674,0.03507875,0.03855076,0.04202277,0.04549478,0.04896679,0.0524388,0.05591081,0.05938282,0.06285483,0.06632684,0.06979885
700,0.0050122,0.0080602,0.0110455,0.0176162,0.02063285,0.02471258,0.02879231,0.03287204,0.03695177,0.0410315,0.04511123,0.04919096,0.05327069,0.05735042,0.06143015,0.06550988,0.06958961,0.07366934,0.07774907,0.0818288
800,0.0056166,0.0090876,0.012508,0.0201013,0.023547,0.02823445,0.0329219,0.03760935,0.0422968,0.04698425,0.0516717,0.05635915,0.0610466,0.06573405,0.0704215,0.07510895,0.0797964,0.08448385,0.0891713,0.09385875
900,0.006221,0.010115,0.0139705,0.0225864,0.02646115,0.03175632,0.03705149,0.04234666,0.04764183,0.052937,0.05823217,0.06352734,0.06882251,0.07411768,0.07941285,0.08470802,0.09000319,0.09529836,0.10059353,0.1058887
1000,0.0068254,0.0111424,0.015433,0.0250715,0.0293753,0.03527819,0.04118108,0.04708397,0.05298686,0.05888975,0.06479264,0.07069553,0.07659842,0.08250131,0.0884042,0.09430709,0.10020998,0.10611287,0.11201576,0.11791865
